Title,Title_URL,Address,Address_URL,City,Review,Price,Rating
Petrus Hotels Royale,https://hotels.ng/hotel/49777-petrus-hotel-abuja,"Garki, Abuja - 7, Agatu Street Off Gimbiya Street, Off Ahmadu Bello Way, Area 11.",https://hotels.ng/hotels-in-abuja/garki,Garki,,"₦21,250
                                               avg/night
                                           ",
Ville Regent Hotel ,https://hotels.ng/hotel/96953-ville-regent-hotel-abuja,"Wuse, Abuja - Plot 1247, Aminu Kano Crescent ",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦25,000
                                               avg/night
                                           ",
The Alexis Hotel And Conference Center,https://hotels.ng/hotel/1000944-the-alexis-hotel-conference-abuja,"Jabi, Abuja - Plot 693, Obafemi Awolowo Way, Zone B4, Jabi  Abuja",https://hotels.ng/hotels-in-abuja/jabi,Jabi,,,
Faaks Hotel,https://hotels.ng/hotel/66816-faaks-hotel-abuja,"Gwaqwalada, Abuja -  Lokoja Express Road, Gwagwalada",https://hotels.ng/hotels-in-abuja/gwaqwalada,Gwaqwalada,,,
Decitizen Guest House,https://hotels.ng/hotel/18392-decitizen-guest-house-abuja,"Kubwa, Abuja - Plot C23 Sultan Dasuki Road ",https://hotels.ng/hotels-in-abuja/kubwa,Kubwa,,,
Choice Guest House,https://hotels.ng/hotel/1009593-choice-guest-house-oyo,"Jahi, Abuja - Opposite Vigilante Office, Jahi II, FCT Abuja",https://hotels.ng/hotels-in-abuja/jahi,Jahi,,"₦3,000
                                               avg/night
                                           ",
Georgio Hotel And Resort,https://hotels.ng/hotel/94675-georgio-hotel-and-resort-abuja,"Maitama, Abuja - 2 Asa Street By Salt Lake Off Gana Street",https://hotels.ng/hotels-in-abuja/maitama,Maitama,,"₦25,000
                                               avg/night
                                           ",
Cottage Hotel,https://hotels.ng/hotel/995570-cottage-hotel-abuja,"Mpape, Abuja - Berger Quarry Road ",https://hotels.ng/hotels-in-abuja/mpape,Mpape,,"₦5,250
                                               avg/night
                                           ",
Next Level Hotel Limited,https://hotels.ng/hotel/62695-next-level-hotel-limited-abuja,"Wuse, Abuja - Plot 2039 Masaka Close, Behind Nafdac Office.",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦9,000
                                               avg/night
                                           ",
Ajuji Greenwich Hotel,https://hotels.ng/hotel/92431-ajuji-greenwich-hotel-abuja,", Abuja - Plot 1083 Joseph Gomwalk Street, Off Abdulsalami Abubakar Road, Gudu District",https://hotels.ng/hotels-in-abuja/,,,"₦34,960
                                               avg/night
                                           ",
Ishakool Hotel,https://hotels.ng/hotel/1391837-ishakool-hotel,"Garki 2, Abuja - No 5, Oke- Agbe Street Off Ladoke Akintola Boulevard, Garki 2 ",https://hotels.ng/hotels-in-abuja/garki-2,Garki 2,"Ishakool hotel is a beautiful place to be, the service is great. I really enjoyed myself. ...","₦20,200
                                               avg/night
                                           ",
Riverview Hotel,https://hotels.ng/hotel/1007081-riverview-hotel-abuja,"Gwagwalada, Abuja - 6, Garba Jibril Street, Sharp Corner Road",https://hotels.ng/hotels-in-abuja/gwagwalada,Gwagwalada,,"₦3,500
                                               avg/night
                                           ",
Bon Hotels Grand Towers,https://hotels.ng/hotel/1390546-bon-hotels-grand-towers,"Katampe, Abuja - Plot 1139 Cadastral Zone ",https://hotels.ng/hotels-in-abuja/katampe,Katampe,,"₦32,000
                                               avg/night
                                           ",
Heavenly Royal Apartments,https://hotels.ng/hotel/1393473-heavenly-royal-apartments,"Katampe, Abuja - No.43 Patrick Yakowa Street Close To Federal Inland Revenue,katempe Extension Opp.gwarimpa",https://hotels.ng/hotels-in-abuja/katampe,Katampe,,"₦24,150
                                               avg/night
                                           ",
URBAN ROOTZ GUEST HOUSE,https://hotels.ng/hotel/1393467-urban-rootz-guest-house,"Maitama, Abuja - Volta Street Maitama Abuja",https://hotels.ng/hotels-in-abuja/maitama,Maitama,,"₦47,250
                                               avg/night
                                           ",
Denoyab's Place International,https://hotels.ng/hotel/99954-denoyabs-place-international-abuja,"Kubwa, Abuja - Plot 89 Cadastral Zone 07- 05, Biajhin, Beside Hope Center(Daughter Of Charity Special School â€“ Inside)",https://hotels.ng/hotels-in-abuja/kubwa,Kubwa,Everything was okay. The service was cool and okay....,"₦5,000
                                               avg/night
                                           ",
Hilltop Guest Paradise,https://hotels.ng/hotel/1006910-hilltop-guest-paradise-abuja,"Lugbe, Abuja -  Plot 900 ,1(R) Crescent, Sector F, Feredral Housing Authority, Lugbe, Abuja Municipal",https://hotels.ng/hotels-in-abuja/lugbe,Lugbe,,"₦4,800
                                               avg/night
                                           ",
Pedallo Luxury Inn,https://hotels.ng/hotel/58328-pedallo-luxury-inn-abuja,"Kubwa, Abuja - Gado Opposites Lagos Street, Before Phase IV Bridge Shama Wate",https://hotels.ng/hotels-in-abuja/kubwa,Kubwa,I enjoyed every bit of my stay at the hotel. The room was neatly arranged and very clean. ...,"₦4,000
                                               avg/night
                                           ",7.7 Very Good
BON Hotel Stratton Asokoro (Formery Protea Hotel Asokoro),https://hotels.ng/hotel/37181-protea-hotel-asokoro-abuja,"Asokoro, Abuja - Bola Ige Close, Mohammadu Ribadu Street, Off Shehu Shagari Way, Asokoro, Area 11",https://hotels.ng/hotels-in-abuja/asokoro,Asokoro,,,7.8 Very Good
Top Franky Palace Hotel,https://hotels.ng/hotel/23443-top-franky-abuja,"Kubwa, Abuja - 78/79 Bama Street, Off Gayata Road, Behind Stanbic IBTC Bank",https://hotels.ng/hotels-in-abuja/kubwa,Kubwa,,"₦3,900
                                               avg/night
                                           ",6.3 Very Good
The Pennsylvania Avenue Hotel And Suite,https://hotels.ng/hotel/87197-kom-yetty-hotels-abuja,"Utako, Abuja -  Plot 42, IBM Haruna Crescent Behind Utako Market ",https://hotels.ng/hotels-in-abuja/utako,Utako,,"₦22,000
                                               avg/night
                                           ",
KINDEA HOTELS ( Formerly Lake Chad Palace Hotel),https://hotels.ng/hotel/82312-lake-chad-palace-hotel-abuja,"Maitama, Abuja - No. 4 Lake Alau Close Off Lake Chad Crescent IBB Boulevard",https://hotels.ng/hotels-in-abuja/maitama,Maitama,I had a good stay at the hotel. I was well received and the room I stayed in was very okay...,"₦25,000
                                               avg/night
                                           ",6.9 Very Good
Golden Gate Hotel,https://hotels.ng/hotel/58695-golden-gate-hotel-abuja,"Wuse, Abuja - 2, Tessaqua Street, Off Mombassa Street, Zone 5. ",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦45,000
                                               avg/night
                                           ",6.6 Very Good
Onyx Hotel ,https://hotels.ng/hotel/57858-onyx-hotel-apartments-abuja,"Garki, Abuja - 12 Ayedun Close, Off Gwandu Street, By Sahad Stores, Area 11",https://hotels.ng/hotels-in-abuja/garki,Garki,,"₦24,000
                                               avg/night
                                           ",7.0 Very Good
Gold Touch Grand Hotels,https://hotels.ng/hotel/11334-goldtouch-grand-hotels-abuja,"Kubwa, Abuja - 1 MTN Road, Phase IV",https://hotels.ng/hotels-in-abuja/kubwa,Kubwa,"
Where should I start. Their food, room services was excellent. I love it all. I definite...","₦9,000
                                               avg/night
                                           ",
Jades Hotels,https://hotels.ng/hotel/58197-jades-hotels-abuja,"Wuse, Abuja - No. 24 Ndola Crescent Opposite NYSE Secretariat, Zone 5 Wuse Abuja",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦29,900
                                               avg/night
                                           ",7.7 Very Good
Roses Hotel,https://hotels.ng/hotel/44682-roses-hotel-abuja,"Garki, Abuja - Plot 816, Off Dunamis Church Road, By Old Secretarat, Durumi District, Area 1.",https://hotels.ng/hotels-in-abuja/garki,Garki,,"₦12,025
                                               avg/night
                                           ",
Gombe Jewel Hotel,https://hotels.ng/hotel/32717-gombe-jewel-hotel-abuja,"Wuse, Abuja -  22 N'djemena Street",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦32,500
                                               avg/night
                                           ",
Bolton White Apartment,https://hotels.ng/hotel/79424-bolton-white-apartment-abuja,"Wuse 7, Abuja - 31 Kigoma Street, Opp. Federal Road Safety Agency",https://hotels.ng/hotels-in-abuja/wuse-7,Wuse 7,,"₦35,000
                                               avg/night
                                           ",
Valton Hotels Ltd,https://hotels.ng/hotel/1242649-valton-hotels-ltd,"Garki, Abuja - Plot 1933, Road 9, Apo Resettlement Estate, Apo",https://hotels.ng/hotels-in-abuja/garki,Garki,,"₦10,000
                                               avg/night
                                           ",
Chesbury Hotel,https://hotels.ng/hotel/72389-chesbury-hotel-abuja,"Wuse, Abuja - Plot 2190 Gwani Street ",https://hotels.ng/hotels-in-abuja/wuse,Wuse,,"₦12,420
                                               avg/night
                                           ",
